Avg_Temperature_C,Energy_Consumption_kWh
17.8,8.4
17.3,7.9
18.6,9.2
18.2,7.9
11.9,9.6
18.3,7.5
15.1,9.1
18.0,11.9
12.7,12.4
19.7,12.1
18.4,11.1
19.6,13.9
18.5,14.7
20.9,11.3
12.5,7.6
14.0,7.2
18.9,8.0
16.2,7.7
14.7,12.0
20.8,12.3
20.4,12.4
19.1,15.3
13.5,13.2
15.9,4.4
16.6,6.5
16.8,3.1
17.2,2.8
16.4,5.2
15.4,7.7
14.6,8.2
21.1,9.4
20.1,10.7
16.9,7.3
13.9,8.3
17.6,7.6
18.7,6.6
14.8,13.5
23.6,11.7
17.9,12.0
14.4,9.3
19.9,10.1
20.6,9.1
15.2,14.9
18.1,14.2
23.7,16.8
15.0,15.5
13.0,9.8
20.2,11.1
15.3,10.0
17.7,11.1
19.3,12.9
16.7,14.5
17.0,12.6
14.1,15.6
12.0,13.9
20.3,16.5
16.3,11.2
10.9,13.1
19.0,9.3
12.2,7.1
19.5,7.3
15.7,6.6
12.6,7.2
21.3,11.4
22.6,11.0
14.9,9.7
23.0,11.3
17.4,11.5
17.5,11.8
23.3,13.9
18.8,14.5
11.8,12.6
15.5,7.7
19.8,12.9
16.5,10.0
13.8,9.6
16.0,8.3
12.3,11.3
15.8,10.2
20.5,13.6
13.7,2.4
17.1,11.0
20.0,6.9
13.4,3.5
19.4,4.7
10.0,5.0
11.3,2.1
21.4,3.3
19.2,11.8
21.0,9.4
14.5,13.5
13.2,8.5
21.7,8.8
21.6,9.2
22.8,9.9
14.2,11.9
11.2,15.5
21.9,9.1
22.5,9.3
21.8,6.0
15.6,17.2
21.2,9.8
16.1,14.3
20.7,17.1
22.1,13.2
22.4,16.5
12.9,2.9
22.3,4.7
23.1,15.9
22.7,6.8
13.3,3.6
13.1,13.4
24.5,9.0
23.2,7.2
24.1,8.5
21.5,3.5
24.3,9.5
11.6,10.1
10.3,6.4
22.2,3.7
11.7,3.2
10.1,12.0
23.8,6.8
14.3,9.3
22.0,12.0
24.0,16.6
11.0,16.7
22.9,9.2
25.0,7.8
23.5,15.2
24.2,11.4
13.6,9.4
12.8,12.6
11.5,5.7
11.4,14.8
12.1,3.9
11.1,11.7
12.4,14.4
24.8,5.7
23.9,6.9
10.2,12.9
23.4,6.3
10.7,12.3
24.4,2.8
10.8,3.2
24.7,10.6
10.6,12.9
24.6,3.2
10.5,5.5
24.9,10.3
10.4,14.6
